algorithm,N,avg_time
linear_search,100,4.385664526905332e-06
linear_search,500,1.3185698272926466e-05
linear_search,1000,2.6142889899866922e-05
linear_search,2000,4.305710483874593e-05
linear_search,5000,0.00013662858067878654
linear_search,10000,0.00023387142989252294
linear_search,20000,0.00048315711319446564
bubble_sort,100,0.00026681433830942424
bubble_sort,500,0.006443285682637777
bubble_sort,1000,0.03112502858441855
bubble_sort,2000,0.12925877146023726
bubble_sort,5000,0.851194285787642
bubble_sort,10000,3.471549614299355
bubble_sort,20000,14.192582057156999
binary_search,100,2.2571933056627003e-06
binary_search,500,3.1429143356425423e-06
binary_search,1000,6.25722376363618e-06
binary_search,2000,5.8428184794528145e-06
binary_search,5000,6.942876747676305e-06
binary_search,10000,7.599991347108569e-06
binary_search,20000,8.185759985021182e-06
merge_sort,100,8.861427860600608e-05
merge_sort,500,0.0004797571538282292
merge_sort,1000,0.0012710571089493377
merge_sort,2000,0.002305314310693315
merge_sort,5000,0.00787012857784118
merge_sort,10000,0.01812634291127324
merge_sort,20000,0.03491578570434025
fibonacci,100,0.01006132863195879
fibonacci,500,0.010253271387357796
fibonacci,1000,0.01012209992456649
fibonacci,2000,0.009233342916039484
fibonacci,5000,0.012419057145182575
fibonacci,10000,0.009677028582830514
fibonacci,20000,0.009415099962747522

